Metadata_broad_sample,ap
BRD-A00827783-001-24-6,0.09703033848169647
BRD-A01078468-001-14-8,0.4090519090519091
BRD-A07207424-001-14-0,0.28281431799504086
BRD-A08187463-001-12-9,0.689111432861433
BRD-A09722536-002-18-0,0.40486625552415023
BRD-A10188456-001-04-9,0.9884169884169884
BRD-A10739734-003-09-8,0.04052773621578923
BRD-A15397381-001-02-5,0.16865435039548352
BRD-A18763547-300-06-3,0.9884169884169884
BRD-A18992208-003-02-7,0.9120280995280994
BRD-A20697603-001-07-2,0.967583655083655
BRD-A22032524-074-09-9,0.9884169884169884
BRD-A22713669-001-04-3,0.7824646074646074
BRD-A23124853-001-01-4,0.9884169884169884
BRD-A24122750-001-03-7,0.11560875767237658
BRD-A25569250-001-03-3,0.9884169884169884
BRD-A30815329-001-12-1,0.8048852423852424
BRD-A31564021-001-02-6,0.25661356313104206
BRD-A36217750-001-16-3,0.22352493602493603
BRD-A37704979-001-12-3,0.9884169884169884
BRD-A43005764-003-01-5,0.9884169884169884
BRD-A48180038-003-24-3,0.3521342896342896
BRD-A51831848-001-01-7,0.23088712040917922
BRD-A54139254-001-09-2,0.6510252135252136
BRD-A58048407-001-20-4,0.48202648274028165
BRD-A63310107-001-04-8,0.782861432861433
BRD-A63444178-001-01-5,0.43888087138087134
BRD-A64173453-015-03-1,0.06931027044110973
BRD-A65597028-003-08-1,0.7004732654732655
BRD-A69636825-003-04-7,0.9675836550836552
BRD-A69651145-003-11-4,0.30434414288405887
BRD-A72351335-001-04-5,0.9884169884169884
BRD-A72483914-001-03-7,0.10546140584140334
BRD-A72767275-003-01-6,0.2720012160801635
BRD-A74391928-051-03-9,0.9467503217503217
BRD-A82396632-008-30-8,0.6168441168441169
BRD-A83029242-001-06-1,0.2974447661947662
BRD-A84687895-001-03-2,0.6969875844875845
BRD-A85242401-001-11-5,0.3672191911162499
BRD-A86665761-001-01-1,0.8310757185757186
BRD-A89164055-001-03-3,0.20345654542083114
BRD-A91008255-003-24-8,0.9884169884169884
BRD-A91822151-001-05-0,0.41034806157088766
BRD-A93477898-001-04-2,0.2725600322639796
BRD-A99888680-001-05-3,0.3005422862817229
BRD-K00259736-001-16-4,0.9884169884169884
BRD-K01666412-001-02-0,0.30089104908597347
BRD-K01824976-300-02-9,0.9884169884169884
BRD-K01825589-310-02-9,0.14761604448482088
BRD-K01825660-322-01-9,0.2330923816888486
BRD-K01825690-065-01-9,0.5497851341601342
BRD-K01826724-003-07-9,0.2598911706054563
BRD-K02490038-236-03-8,0.10022832708277776
BRD-K02554563-001-01-6,0.8703614328614329
BRD-K03109492-001-02-2,0.9884169884169884
BRD-K03155172-001-03-0,0.2302189656875068
BRD-K03406345-001-21-1,0.9884169884169882
BRD-K03601870-001-01-2,0.9884169884169884
BRD-K04210847-001-21-9,0.9884169884169884
BRD-K05531427-001-01-7,0.9884169884169884
BRD-K05878375-236-05-7,0.7060604560604561
BRD-K06426971-001-02-7,0.9884169884169884
BRD-K06674495-334-04-0,0.9884169884169884
BRD-K06890060-001-09-1,0.1893737406399068
BRD-K07442505-001-03-6,0.6372773872773874
BRD-K07762753-001-05-1,0.9884169884169884
BRD-K07881437-001-03-8,0.9884169884169882
BRD-K08893438-001-06-4,0.2915029860484982
BRD-K08953028-001-09-6,0.9398058773058773
BRD-K09143580-001-01-0,0.9884169884169884
BRD-K09295674-001-09-8,0.9884169884169884
BRD-K09338665-001-08-9,0.2630041963409103
BRD-K09787262-001-02-7,0.3927607476387964
BRD-K10670311-001-17-1,0.7657979407979408
BRD-K10843433-001-23-5,0.3935542585542586
BRD-K11558771-001-13-9,0.9884169884169884
BRD-K11796549-001-05-2,0.44022184383658264
BRD-K12102668-001-25-5,0.3233748424537898
BRD-K12502280-001-11-4,0.9884169884169884
BRD-K13094524-001-04-2,0.9884169884169884
